display_name,username,tweet_text,profile_img,post_url,post_date,reply_count,retweet_count,like_count
,@lisamanoba,"@mandiricare halo, tolong cek dm ya",https://pbs.twimg.com/profile_images/1638185739375747072/goOs1Gvl_normal.jpg,,2024-01-31T23:35:17.000Z,7,1,1
Mandiri Care,@mandiricare,@lisamanoba Mohon berhati-hati dan tidak memberikan data rahasia kepada pihak manapun yang mengatasnamakan Bank Mandiri. (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752840396143829255,2024-01-31T23:44:51.000Z,0,0,0
Mandiri Care,@mandiricare,"@lisamanoba Baik Sahabat @lisamanoba, untuk pesan yang dikirimkan melalui DM, sudah kami balas. Mohon kesediaannya untuk melakukan pengecekan lebih lanjut ya. (1)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752840353986826590,2024-01-31T23:44:41.000Z,0,0,0
Mandiri Care,@mandiricare,@lisamanoba atau melalui Whatsapp Official Bank Mandiri 0811-84-14000 bercentang hijau. Semoga prosesnya berjalan dengan lancar. Tks~Bely (4),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752840499831226624,2024-01-31T23:45:16.000Z,0,0,0
Mandiri Care,@mandiricare,@lisamanoba Pastikan Sahabat hanya berinteraksi dengan akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun dan bukan dalam foto profil (3),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752840442931208553,2024-01-31T23:45:02.000Z,0,0,0
Customer Service,@sancaktare8888,Hai kakak mohon info ke wa ya agar kendala nya kamu dapat kami bantu proses langsung :-) untuk layanan Mandiri hanya melalui wa https://wa.link/mejp1bTkz -Andi,https://pbs.twimg.com/profile_images/1752840708124450816/fIseMrUF_normal.jpg,https://twitter.com/sancaktare8888/status/1752841652820185572,2024-01-31T23:49:50.000Z,0,0,0
Mandiri Call,@ToTTk40,"Untuk cek kendala kamu silakan dikonfirmasi melalui WhatsApp kami, untuk penanganan lebih lanjut http://wa.link/3dlakg ID CS ADM- Diana",https://pbs.twimg.com/profile_images/1752849939284344833/pcPC7dvx_normal.jpg,https://twitter.com/ToTTk40/status/1752850595646702068,2024-02-01T00:25:23.000Z,0,0,0
Mandiri Call,@ToTTk40,mohon kesediaan bapak/ibu untuk menghubungi layanan WhatsApp kami untuk pengecekan lebih lanjut http://wa.link/3dlakg Tkz:-) Diana,https://pbs.twimg.com/profile_images/1752849939284344833/pcPC7dvx_normal.jpg,https://twitter.com/ToTTk40/status/1752850563019206764,2024-02-01T00:25:15.000Z,0,0,0
π,@kintsyugi,@mandiricare cek dm yaa,https://pbs.twimg.com/profile_images/1692739259663613952/-zi916JX_normal.jpg,,2024-01-31T16:10:33.000Z,3,2,0
Mandiri Care,@mandiricare,@kintsyugi Pastikan Sahabat hanya berinteraksi dgn akun resmi Bank Mandiri bercentang emas (verified) di sebelah nama akun (2),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752806749382619364,2024-01-31T21:31:09.000Z,0,0,0
Mandiri Care,@mandiricare,@kintsyugi dan bkn dalam foto profil atau melalui whatsapp official Bank Mandiri 0811-84-14000 bercentang hijau. Semoga prosesnya berjalan dgn lancar. Tks~Sizko (end),https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752806758945542223,2024-01-31T21:31:11.000Z,0,0,0
Mandiri Care,@mandiricare,"@kintsyugi Halo Sahabat @nninzii_, mhn maaf atas ketidaknyamanannya. Untuk pesan yg dikirimkan melalui DM, sudah kami balas. Mohon kesediaannya untuk melakukan pengecekan lebih lanjut ya. (1)",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752806721536565322,2024-01-31T21:31:02.000Z,0,0,0
Tanyarlfes,@tanyarlfes," hati hati ya kalo ambil duit di atm, ini bapak aku ngambil dari atm ternyata dapet nya yang palsu (yang atas). Dan bapak aku gasadar, tadi dipake belanja tapi ditolak ternyata palsu",https://pbs.twimg.com/profile_images/1610613801526890500/aBOa83uV_normal.jpg,https://twitter.com/tanyarlfes/status/1752342937114194198,2024-01-30T14:48:07.000Z,908,1.9K,13K
menjadi ciki,@cikibuumm,"Terlihat untuk cs bni dan bca udah ngejawab, kalo @mandiricare gimana nih kalo ada kejadian gini?",https://pbs.twimg.com/profile_images/1720098343404326912/6gj2bGZ5_normal.jpg,https://twitter.com/cikibuumm/status/1752555966284120461,2024-01-31T04:54:37.000Z,6,2,1
Mandiri Care,@mandiricare,"@cikibuumm Halo Sahabat @cikibuumm, apakah ada perihal perbankan Bank Mandiri yg dpt kami informasikan. Tks~Elfa",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752557770711375937,2024-01-31T05:01:48.000Z,1,0,0
Mynd Maori Vtuber-ID,@Mynd_Maori,Yg jawab bot yahahah,https://pbs.twimg.com/profile_images/1738011949487779840/0tem7fCW_normal.jpg,,2024-01-31T15:28:34.000Z,0,0,1
Mandiri Care,@mandiricare,"Sahabat, selalu berhati-hati terhadap kejahatan perbankan bisa terjadi di mana aja dan kapan aja, termasuk pas lagi transaksi di ATM.Yuk simak tips aman pada saat menggunakan ATM!#JagaBaikBaik#kelasmandiri",https://pbs.twimg.com/profile_images/1501039949264605187/__bKFZ_p_normal.jpg,https://twitter.com/mandiricare/status/1752246899468583360,2024-01-30T08:26:30.000Z,11,0,0
